n,algo,cenario,tempo_ns
10,insertion,melhor,141781
10,insertion,medio,2374
10,insertion,pior,2444
10,merge,melhor,5727
10,merge,medio,3353
10,merge,pior,4261
50,insertion,melhor,1396
50,insertion,medio,3842
50,insertion,pior,4889
50,merge,melhor,10826
50,merge,medio,12432
50,merge,pior,9917
100,insertion,melhor,1886
100,insertion,medio,5727
100,insertion,pior,9498
100,merge,melhor,17251
100,merge,medio,21442
100,merge,pior,15784
500,insertion,melhor,4819
500,insertion,medio,98059
500,insertion,pior,140104
500,merge,melhor,77106
500,merge,medio,114681
500,merge,pior,73893
1000,insertion,melhor,4819
1000,insertion,medio,291174
1000,insertion,pior,566144
1000,merge,melhor,136752
1000,merge,medio,287892
1000,merge,pior,230062
5000,insertion,melhor,21442
5000,insertion,medio,4397991
5000,insertion,pior,7519538
5000,merge,melhor,293967
5000,merge,medio,541281
5000,merge,pior,276507
10000,insertion,melhor,10965
10000,insertion,medio,11603866
10000,insertion,pior,21905586
10000,merge,melhor,526684
10000,merge,medio,1000705
10000,merge,pior,528709
